,text
0,Opinion | Joe Biden Says Age Is Just a Number - The New York Times
1,"He also discussed the “creeps” in Silicon Valley, the mistakes of the 2016 Clinton campaign and his current opposition to the federal legalization of marijuana."
2,"Here is a transcript, with annotations in blue, of the 80-minute discussion, which was filmed for a special episode of “The Weekly,” The Times’s TV show on FX and Hulu. The transcript is unedited. [Related: Learn more about “The Choice”, or meet the editorial board members]"
3,"Kathleen Kingsbury: So Mr. Vice President, we’re hoping to ask you a few questions that we haven’t really heard you answer on the campaign trail yet. O.K."
5,"KK: We have a lot of questions to get through, so please excuse us in advance if we interrupt you. I want to start — you fought corruption in Ukraine. There is no indication that you or your son did anything wrong or were part of any corruption in Ukraine. But you still haven’t really answered the question of whether or not you think it’s proper for the son of a sitting vice president of the United States to serve on the board of a foreign company that’s being investigated for corruption."
6,"In the October Democratic debate, Mr. Biden was asked by CNN’s Anderson Cooper about his son’s decision to serve on the board of Burisma, a Ukrainian gas company. Mr. Biden said he and his son “did nothing wrong,” and he simply “carried out the policy of the United States in rooting out corruption in Ukraine,” skirting the underlying question."
7,"Look, I fought corruption when I was in Ukraine. No one ever suggested I’ve done anything differently, including all of the president’s men and women who testify. And I didn’t realize he was on the board until he had been on the board for a while. You all did write, I think, in — I can’t remember what month it was — but you indicated, and I think it was ’15, that he shouldn’t be on the board."
8,The Times editorial board wrote in 2015: “It should be plain to Hunter Biden that any connection with a Ukrainian oligarch damages his father’s efforts to help Ukraine. This is not a board he should be sitting on.”
9,"He’s acknowledged that he thought it was a mistake. And as you pointed out, the focus here is, can’t be taken off the fact who, in fact, violated the Constitution. Did the president of the United States engage in an offense that is a constitutional violation of seeking the influence of a foreign government? It’s a legitimate question to ask, but seems to me that the core of it is: No one has suggested I did anything wrong. And I didn’t realize he was on the board until after he had been on the board. At the same time, he has come forward and said it was a mistake on his part to be on the board."
10,KK: Would you be in favor of a law banning the children of sitting presidents and vice presidents from serving on foreign companies’ boards?
11,"The answer is, I hadn’t thought of it that way, but I don’t think I would be opposed to it, except if, what happens if there’s a — now it wouldn’t apply to my family, but what happens if somebody’s son or daughter has long been a member of a board of a major corporation that’s a multinational corporation? It could be counterproductive, but I don’t — "
12,"Look, as I said, looking back on it, Hunter has indicated that he thought it was a mistake to do what he did, to get on the board, although no one’s indicated he’s done anything that was illegal or wrong. The one thing I will do as president is make sure no one in my family, while I’m president of the United States, has any involvement with any foreign government at all. That’s also to make sure there’s not a repetition of what’s taking place in the Trump White House. No one in my family will have an office in the White House. No one in my family will be in on — KK: What about the first lady? [LAUGHTER]"
14,"Well, the first lady will have an office, but it won’t be in the White House probably. It’d probably be in the executive office building. But no one is, in my family, none of my children or anyone related to me, is going to be engaged in anything having to do with the conduct of foreign policy, international affairs, because I think what’s — anyway."
15,"The first lady, since at least the Carter administration, has had an office in the White House’s East Wing. "
16,    Watch a special endorsement episode of “The Weekly”     FX Hulu
18,          This video excerpt has been edited by “The Weekly.”         
20,"Mara Gay: Mr. Vice President, why don’t you support reparations for black Americans?"
21,"In the September Democratic debate, Mr. Biden was asked about a comment he made in 1975: “I’d be damned if I feel responsible to pay for something that happened 300 years ago.” He did not respond directly to the question."
22,"Well, I do support reparations for black Americans. And the best way to get reparations for black Americans — end systemic segregation, and it’s real, and it’s genuine. I spent my whole career doing that. "
23,"Other candidates (and former candidates) in the 2020 field have been vocal proponents of reparations for black Americans, particularly Senator Cory Booker, who has sponsored Senate legislation to form a commission to study reparations."
24,"The first thing I did as a young councilman and lawyer was to fight redlining, fundamentally alter the way in which we deal with, how we deal with education. I got deeply involved in the civil rights movement from the time I’ve been a kid. And so I think that the reparations argument and debate is worth people investigating it. But how do you make that judgment? "
25,"Mr. Biden ran for New Castle County Council in 1970 and made public housing expansion a central part of his campaign. He fought against redlining, a process that designated certain neighborhoods — often those that were predominantly black — as too risky for mortgages."
26,"In the meantime, there’s a lot we have to do right now to deal with the original sin of America, which is slavery. And so I think it’s much more productive to move quickly on everything from access to education to loans. I mean, why in God’s name is a situation where you can own a home, exact same home, on one side of the street, which is predominantly black, and you own the exact home across the street which is predominantly white, and your home will be valued less and your insurance will cost more? It’s wrong. There’s a whole range of things we can do legislatively now to deal with this systemic racism that still exists."
27,"MG: I’m just going to drill down a little bit more on that. You said during the September debate, when asked about reparations, that black parents should, among other things, make sure that you have the record player on at night. How specifically should the country confront its history of slavery, discrimination and plunder of black America?"
28,"In the September Democratic debate, Mr. Biden was asked about what responsibility Americans should have in confronting the legacy of slavery. He gave a rambling answer that began with segregation and then landed on parenting, saying that parents need to “make sure the television — excuse me, make sure you have the record player on at night, the — make sure that kids hear words, a kid coming from a very poor school — a very poor background will hear four million words fewer spoken by the time we get there.”"
29,"Well, I think you’re taking that out of context, but that’s O.K. MG: Actually, it wasn’t out of context."
31,"No, well, O.K. The idea is that the responsibility rests on those who are still engaged in oppression to stop what they’re doing and pay for what they’ve done if it’s criminal. And if it’s not criminal, pay for it economically and change the law. So that’s the bottom line. "
