,text
0,Opinion | Pete Buttigieg Says He’s More Than a Résumé - The New York Times
1,"It can be hard to remember that Pete Buttigieg is just 37 — his deep baritone and evenness of tone can often seem like a mismatch with his relative youth among the Democratic field. Mr. Buttigieg projected steadiness and thoroughness as he faced questions [Related: What Is an Editorial Board?] about his consulting work at McKinsey & Company, his service in Afghanistan, his faith and his challenges in attracting support from minorities and younger voters, despite being the youngest candidate in the contest. He bristled at suggestions that his McKinsey work involved bread price fixing in Canada and claimed ignorance of the “Mayo Pete” memes popular on the internet among millennials. (“I get the white part,” he said.)"
2,"Here is a transcript, with annotations in blue, of the 80-minute discussion, which was filmed for a special episode of “The Weekly,” The Times’s TV show on FX and Hulu. The transcript is unedited. [Related: Learn more about “The Choice,” and meet the editorial board members] Well, thanks for having me over."
4,"Kathleen Kingsbury: Thank you for coming. So, we have heard you obviously talk about health care and climate and the Middle East a lot in the debates, so we’re going to try to ask you some questions we haven’t heard you answer in the past, and you will be shocked to hear that we’d like to start with your time at McKinsey. You graduated from Oxford with sterling credentials. You could have pursued any number of career paths from there, including the choice you ultimately made to join the military. Can you walk us through why you decided to go to McKinsey from there?"
5,"The week of Mr. Buttigieg’s interview, he had just released his client list from his tenure at McKinsey. When he began his mayoral campaign in South Bend, he leaned heavily on his McKinsey credentials. In a campaign speech, he said: “I am the only candidate with experience working on billion-dollar decisions, helping to turn around major companies around the country and around the world.”"
6,"Yeah, so the biggest thing was that I had a great academic education, but I was beginning to feel that there wasn’t as much real-world experience mixed in with it. That in particular, I was eager to do as many things as I could, touching as many fields as I could, and to understand business in particular, about how people and money and goods move around the world and how that works."
7,KK: So you didn’t just want to make a lot of money?
8,"A typical starting salary for analysts at McKinsey is now roughly $85,000 before annual bonuses. What’s that? KK: You didn’t just want to make a lot of money?"
11,"I definitely noticed the paycheck and that was important, too. I needed to make a living. Yeah. I’m not going to pretend that that wasn’t on my mind, too."
12,Mr. Buttigieg said he lived off his savings from McKinsey during his first two runs for office.
13,"Binyamin Appelbaum: We’d like to talk about some of those real-world experiences. So one of the companies you worked for, Blue Cross Blue Shield of Michigan, you said that you were analyzing costs there, and after you completed that project, the company moved ahead with hundreds of layoffs and rate increases. Did you understand that what you were doing as a McKinsey consultant at that company that you were working to prepare for layoffs and price increases?"
14,"Blue Cross Blue Shield was Mr. Buttigieg’s first assignment at McKinsey. He worked there for three months in 2007. After he left, the company cut as many as 1,000 jobs, or nearly 10 percent of its work force, according to The Times."
15,"I had nothing to do with premiums, prices, fees or anything like that. Mostly what my team was looking at was overhead. There’s no way to know the relationship between analysis I did in 2007 and decisions they made in 2009, but certainly our focus was making sure that cost was under control there."
16,"Blue Cross Blue Shield announced its layoffs in January 2009, after the company reported a loss of about $140 million. The company also announced that it would freeze pay for nonunion workers and cut 25 percent of discretionary spending."
17,BA: You surely understood why a company like that would hire McKinsey to come in. Yeah? How do you mean?
19,    Watch a special endorsement episode of “The Weekly”     FX Hulu
21,          This video excerpt has been edited by “The Weekly.”         
23,"BA: When companies hire consultants, they’re usually trying to reduce their costs, right?"
24,"I think that’s the only cost-cutting study I did out of all my time at McKinsey, so I’m not sure it’s accurate to say that that’s what most consulting work is."
25,"One of Mr. Buttigieg’s McKinsey clients was the Postal Service, which called in McKinsey to address widening revenue losses. In a 2010 report, McKinsey recommended cost cutting by, among other things, replacing unionized career employees with a “more flexible” work force. Read the report here."
26,BA: So it surprised you when that resulted in layoffs and price increases cases. That didn’t seem like what you would’ve done if you had had that information.
27,"Over time, Mr. Buttigieg has distanced himself from the work he did at McKinsey. When he was running for Indiana state treasurer in 2010, it was a key part of his campaign pitch."
