,text
0,Opinion | Amy Klobuchar on Plans vs. Pipe Dreams - The New York Times
1,"The problems Amy Klobuchar has tried to tackle, often in partnership with a Republican colleague, since she was elected to the Senate in 2006 range from herculean (comprehensive immigration reform) to plain common sense (backup paper ballots)."
2,"Ms. Klobuchar met with The Times’s editorial board [Related: What Is an Editorial Board?]  on Dec. 10. She put an emphasis on the practical — what she genuinely feels she can achieve in her administration — as she addressed big questions on economics, health policy and foreign policy. The board aimed at getting a sense of the vision underlying that pragmatism."
3,"Here is a transcript, with annotations in blue, of the 90-minute discussion, which was filmed for a special episode of “The Weekly,” The Times’s TV show on FX and Hulu. The transcript is unedited. [Related: Learn more about “The Choice”, or meet the editorial board members]"
4,"Kathleen Kingsbury: So Senator, we’ve all watched the debates. Many of us have heard you on the trail. We’ve heard you talk a lot about health care in the past and the Middle East and your past boyfriends. [LAUGHTER] So we want to ask you some questions that we haven’t heard you answer so far. We’re going to just jump right in. I hope that’s O.K. National polls show that the former vice president, Joe Biden, is still leading in a lot of places. Your platform in many ways is very similar to his. Make the case for us of you versus Joe Biden?"
5,"Though former Vice President Biden and Senator Klobuchar are both moderates in the race, most polls have consistently shown Mr. Biden leading Senator Klobuchar by at least 20 percentage points."
6,"Sure. The No. 1 case is that I am someone that has a record of bringing people with me and winning in districts that eluded the Hillary Clinton campaign in 2016. And the, I guess, proof point is what happened in Minnesota where Secretary Clinton, who would have been a great president, had her lowest percentage in a state that she won in the country. And then I went on, as I’ve done now three times, to win every rural congressional district, including the ones bordering Iowa, North and South Dakota, including the Iron Range, northern Minnesota, where the steelworkers are and including Michele Bachmann’s district. And you don’t do that just by a fluke when you do it three times."
7,"And how I’ve done this is by going not just where it’s comfortable, but where it’s uncomfortable. We also had the highest voter turnout in the United States of America when I have led the ticket and flipped the statehouse every single time from Republican to Democrat because it is truly a purple state. "
8,"I have done that because I view these races not as a personal victory for me, but a state and a national victory. And when you look at it that way, you bring people with you. You bring other electeds with you, and you bring voters with you. "
9,"While a lot of people have talked about that on the stage, they actually don’t have the track record of doing it. And I think in such a critical election that that should really, really matter. "
