,text
0,Opinion | Bernie Sanders Wants to Change Your Mind - The New York Times
1,"Why Bernie Sanders animates so many young people on the campaign trail is instantly recognizable: The senator from Vermont offers an agenda of transformational change, promising to be as grass-roots as he is stubborn. On Dec. 2, he spent 90 minutes with the Times editorial board, [Related: What Is an Editorial Board?] sparring over issues from foreign policy and climate change to antitrust regulation and gun violence, and tackled questions on health policy that went beyond his well-known Medicare for All proposal."
2,"The board pressed him on how he plans to carry out his ambitious policy ideas if faced with the Republican and Mitch McConnell-led Senate that stymied so many of President Barack Obama’s proposals. He also answered questions on his history of support for left-wing Latin American political movements, given the corruption and even violence that have plagued some of them in recent years. And he spoke to concerns about his personal health, after his heart attack in October. "
3,"The vision Senator Sanders presented is one of ambitious progress. The editorial board challenged him to detail how that vision would be executed, especially given his age, his lukewarm record on bipartisan achievements and the deeply polarized state of the nation. "
4,"Here is a transcript, annotated in blue, of the 90-minute discussion on Dec. 2, which was filmed for a special episode of “The Weekly,” The Times’s TV show on FX and Hulu. [Related: Learn more about “The Choice”, or meet the editorial board members]"
5,"Kathleen Kingsbury: Senator Sanders, thank you so much for coming. We all know your bio. We’ve watched the debates. Most of us have actually met you in the past, we’ve heard you talk a lot about health care and the Middle East and climate, so we’re hoping to focus on a few questions that we have not heard you answer on the campaign trail. I wanted to start with: The revolution, like the one you’re proposing, overhauls everything, but can you walk us —"
6,"The Democratic candidates spent a total of about 90 minutes discussing health care during the first three debates, twice as much as they did on climate change and foreign policy. Not quite everything."
8,"KK: Quite a few things. Can you walk us through what the first 100 days will look like, though? What are your priorities? What do you want to do while you have the momentum of entering office?"
9,"Some of the Democratic contenders, including Senator Amy Klobuchar, have released plans for their first 100 days in office; Senator Sanders has not, though he has made a number of commitments including one to legalize marijuana within that window."
10,"It’s going to be a busy hundred days. In fact, I’ve made enough promises that I think I’m going to be up all night on my first day. I’m going to go to bed at 5 in the morning. I think the most important point aside from the legislation, which I’ll get into, is to convince the American people that in fact we can have a government that represents working people and not just the 1 percent. And that will mean, by the way, that I suspect we’re going to use Air Force One quite a bit. We’re going to get around the country, we’re not just going to be in the Oval Office."
11,"But obviously the legislation that we’re going to introduce will deal with climate change, which I consider to be an enormous threat, not only to this country, but to the planet. We’ll introduce Medicare for All legislation in the first week because I think it’s high time the United States join the rest of the industrialized world in guaranteeing health care to all people. We will be introducing legislation not dissimilar to what passed the House raising the minimum wage to a living wage. We’ll be introducing legislation to rebuild a crumbling infrastructure, making public colleges and universities tuition-free. In other words, what I believe is when you rally the American people around an agenda that works for working people, we can do more than one thing at a time. I’m asked every single day, “What’s your top priority?” There is no top priority. The top priority is to create a government that works for all of us, not just the people on top. "
12,"In July, the House of Representatives passed legislation that would raise the federal minimum wage to $15 an hour by October 2025, raising the wages of as many as 27 million Americans. Though Senator Sanders wrote a letter calling on Mitch McConnell, the Senate majority leader, to bring the Raise the Wage Act for a vote, it has languished."
13,KK: That’s a really ambitious agenda. What of that legislation do you think could pass a Mitch McConnell Senate? 
14,"I think, and thank you for asking that, I need a minute on this one, O.K.? Because I want to just convey to you that I look at the world maybe a little differently than you do, and I say that in due respect. When I talk about a political revolution, it means being an administration unprecedented, certainly in the modern history of this country, maybe going back to F.D.R. Maybe even beyond F.D.R. So to me, what my administration is about is not sitting with Mitch in the Oval Office or wherever it is, negotiating something. It is rallying the American people around an agenda that they already support. All right? This is, I think, what makes me a little bit different than other candidates, and that is not only will I be commander in chief, I will be organizer in chief. "
15,"“When I’m president I won’t just be commander in chief, I’ll also be organizer in chief,” Senator Sanders has said. There’s some precedent for that sort of campaign pitch: During Mr. Obama’s 2008 run, a number of commentators noted his community organizing background and suggested that he might be America’s first organizer in chief, though some noted that he failed to provide a long-term engagement strategy for the movement of two million progressives he built during his campaign."
16,"And I think the agenda that we have brought out in almost every respect is supported by the American people. So one of my first stops, by the way, will be in Kentucky, a state that is struggling very hard. One of the poorest. I love the people in Kentucky. I’ve been there and we, you know, and I will be back, but I think, I’m sorry ——"
17,"KK: I was just going to ask, how do you respond to studies that show that you have one of the worst records in terms of bipartisan deal-making in the legislature right now?"
18,A 2019 study by the Lugar Center and Georgetown’s McCourt School of Public Policy found that Senator Sanders was the senator least likely to co-sponsor legislation across party lines. Really? 
20,    Watch a special endorsement episode of “The Weekly”     FX Hulu
22,          This video excerpt has been edited by “The Weekly.”         
