,text
0,Opinion | Elizabeth Warren Is Ready for a Fight - The New York Times
1,"Elizabeth Warren, in her interview with the Times editorial board [Related: What Is an Editorial Board?] on Dec. 4, largely stuck to her polished script — which the senior senator from Massachusetts said she has delivered 175 times — calling for “big structural change” to right the imbalances in the current American economy and end what she sees as endemic corruption in business and politics. She famously has “a plan for that” and had a (lengthy) answer for nearly every question."
2,But a few questions caught her off guard: how to safeguard American nuclear weapons in Turkey; how to respond if China cracked down violently on protesters in Hong Kong; and what she was likely to fail at as president.
3,"Here is a transcript, with annotations in blue, of the 80-minute discussion, which was filmed for a special episode of “The Weekly,” The Times’s TV show on FX and Hulu. The transcript is unedited. [Related: Learn more about “The Choice”, or meet the editorial board members]"
4,"Kathleen Kingsbury: So we don’t have very much time together. We all know your résumé and your bio, and many of us have met you in the past, so you don’t mind if we just jump right into questions? Of course."
6,KK: Should it be against the law for the children of sitting presidents and vice presidents to serve on the boards of foreign companies or otherwise profit from their parents' service?
7,"Several members of the Trump family have come under fire for profiting from Donald Trump’s administration in possible violation of the emoluments clause, including Ivanka Trump, who was paid more than $1 million from her ties to the Trump Organization last year. And former Vice President Joe Biden’s son Hunter held a lucrative position on the board of a Ukrainian natural gas company. In late September, Ms. Warren was, in the words of one reporter, “uncharacteristically flustered” when asked about the Biden matter."
8,"You know, when I put together my anti-corruption plan, which is a big plan about the influence of money, I didn’t put the provision in, but it was mostly because it’s like so many things, I hadn’t actually seen the implications of it. I think it’s actually a very bad idea, and I would like to see it as part of an anti-corruption —"
9,"Senator Warren’s anti-corruption plan includes provisions to extend conflict-of-interest laws to the president and vice president, compel government to divest from privately owned assets and restrict the ability of lobbyists to be hired for government jobs. It takes aim in particular at many of the practices that the Trump family has used to profit from office, which The Times has editorialized against. KK: It’s a very bad idea for the children to ——"
11,"Yes. I just think it’s got this — no one has to say there is a conflict of interest, and I’m not trying to talk about anyone’s individual circumstances, but I think one of the things we have to deal with in public life is the appearance of conflict of interest. You know, that’s supposed to be the guiding principle, for example, for judges. It’s not whether or not there is a conflict of interest, it’s whether or not people in the public could reasonably be concerned that it were, because it’s important that you believe that judges are acting independently and not influenced because they’re going to get money or someone in their family is going to get money. And so that’s where I think the analogy is the closest, and whether you make it a rule of ethics or whether do you actually just make it part of the law, I think is a fair question, but I get why we should push in that direction."
12,KK: So do you think that Vice President Biden has been forceful enough in his ——
13,"I’m not going to do this. I’m just not. I’m not here to take on Joe Biden and what Joe Biden has done. I’m glad to talk to you about why I’m running for president, but not to attack him."
14,"Some of the Democratic candidates have been more forthright in their criticism of Hunter Biden’s role at the Ukrainian gas concern; others have been cagier. Senator Cory Booker, when asked about the controversy, said “I just don’t think children of vice presidents, presidents, during the administration should be out there doing that.” Senator Warren, on the other hand, has said: “I don’t know. I mean I’d have to go back and look at the details.”"
15,"KK: Well, we’re going to start, if you don’t mind, at America’s borders and around foreign policy. Sure."
17,    Watch a special endorsement episode of “The Weekly”     FX Hulu
19,          This video excerpt has been edited by “The Weekly.”         
21,"KK: Throughout America, many jobs that were once held by American union members have been replaced and are now held by undocumented immigrants. Does that drive down wages in the United States?"
22,"Over several decades, it’s become increasingly clear that how immigration debates are framed is important. One of the more subtle anti-immigration tactics — employed by the Trump, Kennedy and Johnson administrations, as well as some on the political left — is to suggest that reducing immigration could preserve more jobs for American workers and lead to higher wages, but economic research has consistently disputed the notion that limiting immigration would increase domestic employment or raise average wages. The prevailing view of economists is that immigration increases economic growth; while some workers might benefit from immigration restrictions, more would suffer."
23,"I think having people here who are working under the table is both bad for American workers and bad for the American economy. One of the reasons I propose to create a pathway to citizenship for everyone who’s here to stay, a pathway that is fair and achievable, is to stop the problem of two-tier hiring: those who are hired in the legal system and then those who are hired outside the legal system. People who are undocumented have no protection and are frequently subject to wage theft, to unsafe working conditions, and that’s not good for anyone. It’s not good for American workers. It’s not good for the American economy."
24,KK: But does it drive down wages for American workers?
