,text
0,Opinion | Andrew Yang Is Listening - The New York Times
1,"Andrew Yang’s message is remarkably similar to Elizabeth Warren’s and Bernie Sanders’s — the American economy is not working for enough Americans, and it’s going to require structural change to do better. Where Mr. Yang differs — beyond his almost complete lack of government or political experience — is in his prescriptions, including his signature Freedom Dividend. "
2,"Mr. Yang previously ran a successful test prep company and created the nonprofit Venture for America, which he argues is a strength, offering him fresh perspective and critical distance from the workings of Washington."
3,"In an interview on Dec. 4, it was clear that Mr. Yang has done his homework, traveling across the country and listening closely. “He really seemed to have an almost emotional sense of what people have been going through and what the problems are,” a board member [Related: What Is an Editorial Board?] said afterward. “His portrait of the fundamental economic problems were more moving than Bernie’s, and Bernie has been selling this for 30 years.”"
4,"He articulated a vision for the future of work, education and technology for the nation. The board also delved into Mr. Yang’s approach to foreign policy and military intervention, and learned of his fascination with aliens and fear of flying vacuum cleaners."
5,"Here is a transcript, with annotations in blue, of the 90-minute discussion, which was filmed for a special episode of “The Weekly,” The Times’s TV show on FX and Hulu. The transcript is unedited. [Related: Learn more about “The Choice”, or meet the editorial board members]"
6,"Kathleen Kingsbury: Wonderful. Thank you. Yeah. So I have a serious question to ask you, but first we wanted to ask, were you wearing a helmet while you were biking here?"
7,Mr. Yang biked to the Times from his Manhattan home. More New York City cyclists died biking in 2019 than in any other year since 2000; Gothamist counts 29 deaths.
8,I was wearing a helmet. I have a staffer with the helmet as proof. Jesse Wegman: Is the inside of the helmet warm? 
10,My team then had me take the helmet off and then tried to make my hair look good. So that’s why I didn’t show up with the helmet. KK: It looks sharp.
12,"I commented to one of my team members, I feel like running for president is at least a glimpse into what it’s like to be a professional woman because I feel like I care about my appearance more now than I ever did. And there are people that are always like looking after ——"
13,"He’s right, of course. Women in politics have long been subjected to much closer scrutiny than men; in 1917, the first female member of Congress, Jeannette Rankin, took office and The Washington Post ran an article headlined: “Congresswoman Rankin Real Girl; Likes Nice Gowns and Tidy Hair.”"
14,    Watch a special endorsement episode of “The Weekly”     FX Hulu
16,          This video excerpt has been edited by “The Weekly.”          Brent Staples: Scrutinizing you.
19,"Scrutinizing, looking after it, because I’m just like, “What? My hair? Who cares? No one.” And then people are like, “No, no,” and they have to put time in, smooth it out."
20,"KK: So let’s get into it. We have about 90 minutes together. In your assessment, what are the policy breakdowns that lead to Americans still being hungry today?"
21,"Wow, I love this question. There are many causes of poverty, and the fact that we’re not able to put food into people’s houses and on their tables is a structural problem. My campaign’s based upon the premise that we’re going through this profound economic transformation, the fourth industrial revolution. And one of the major problems is that we still pretend we’re in the economy of the ’70s or ’80s."
22,"Mr. Yang is not the first to label this period “the fourth industrial revolution” — the term was made popular by Klaus Schwab, founder and executive chairman of the World Economic Forum, at its annual meeting in Davos in 2016. Mr. Schwab’s book of the same name argues that “the fourth industrial revolution” is transforming every sector of the economy and industry through new technologies that merge the physical, digital and biological realms."
23,"In the ’70s or ’80s, your labor and overall productivity were more or less in lock step. And we still pretend that if someone wakes up in the morning and says, “Hey, I need to put food on the table,” he can go out to his main street, he can sell his time for money at some hourly rate, and then he’ll be able to make a good enough living so he can feed his family, raise kids and the rest of it. That has become progressively less true over the last 40 years, unfortunately, where wages have stagnated while productivity has gone up and up, and that’s going to accelerate because of the convergence of capital and technology now, in unprecedented ways."
24,"Starting in 1979, productivity and pay sharply diverged — productivity rose nearly 70 percent, while typical hourly pay essentially stagnated, according to the Economic Policy Institute."
25,"Especially for people who are at the lower end of the skills ladder, which is most Americans. Only 33 percent of Americans will graduate from college, 42 percent if you include two-year degrees."
26,"So you’re looking at a nation of high school graduates. And what do high school graduates do for a living? The top five occupational categories are retail and administrative, which includes call center work, retail, food service and food preparation, transportation, primarily truck driving, and attendant supportive jobs and manufacturing still. We all know that we have gutted many of these industries, and their labor bases have shrunk. "
27,"So for a high school graduate in America to get by, if you have one health problem or car breakdown, it can take a very tenuous financial situation and send it in a downward spiral. Then how do you put food on the table? In theory, there are nonprofits and food pantries that would see to this, but we all know that they’re dramatically underresourced relative to the need. And so when you look at the causes of food poverty, to me the best solution is instead of trying to create organizations that will put food into people’s hands, which we should do obviously, we should just put money into Americans’ hands and then they would be able to procure food to provide for themselves and their families."
28,"Mr. Yang’s candidacy has centered on the idea of his Freedom Dividend, essentially universal basic income — which has a long history, drawing support from Thomas Paine, Martin Luther King Jr. and Friedrich von Hayek, but also a controversial one. (Later annotations will look at why.)"
29,"KK: So I assume you’re referring to [your] universal basic income plan. Your campaign platform, you have tons and tons of proposals, everything from U.B.I. to universal daylight saving time. Plans don’t really mean anything unless you have priorities. What would you do immediately when you enter office? What would be first on your agenda? What would you want to accomplish in the first 100 days?"
30,"Mr. Yang has prided himself on injecting the race with new thinking through proposals like yearlong daylight saving time. Daylight saving time was instituted during World War I for energy-efficiency purposes. Mr. Yang argues that extending it year-round would decrease traffic accidents, increase economic activity and lower crime. "
31,"To me, the economic imbalances are causing many of our other problems. If you look up and down the line, health problems, poor educational attainment and results, even political polarization, they stem from the fact that we have this pervasive financial insecurity where 78 percent of Americans are living paycheck to paycheck. Almost half can’t afford an unexpected $400 or $500 bill. If you can’t pay next month’s rent, it’s very hard to worry about climate change. I come and talk to you and say, “Hey, we need to fight climate change.” And you look up and say like, “I’m worried about next month. Next year, next decade has to wait in line.”"
32,The statistic that 78 percent of Americans live paycheck to paycheck was reported in a 2017 study by the human capital management firm CareerBuilder. Read the study here.
33,"And that’s probably a generous response. Some of the responses would be worse than that. So if you get the boot off people’s throats, then you can start making progress on our health, on our educational outcomes, on our political polarization. "
34,"Everyone knows my flagship proposal is this Freedom Dividend of $1,000 a month for every American adult, which is not a new idea. And it’s not my idea. Thomas Paine was for it at the founding of the country. Martin Luther King fought for it and was fighting for it when he was assassinated. So after I’m the nominee and I defeat Donald Trump, everyone will know that I’m in the White House because of the Freedom Dividend."
35,"Democrats and progressives will be so thrilled to have defeated Donald Trump, they will love the fact that we’re going to put buying power into families’ hands, make children stronger and healthier. But here’s the great thing: The Republicans will look up and say, “Wait a minute, do I hate the Freedom Dividend?” And they look up, and they notice only one state’s had a dividend for almost 40 years, and it’s Alaska, a deep red conservative state, that was passed by a Republican governor."
36,"Since 1982, Alaska has been giving every resident an annual check from its $66.3 billion permanent fund, which gets at least 25 percent of the state’s mineral royalties every year. The results of the experiment have been mixed — crippling poverty is low, but unemployment rates are among the highest in the country, and the fund’s value fluctuates with oil prices."
37,"The reason I am drawing, in some polls, 10 percent or more of Donald Trump voters to my campaign is that Republicans and conservatives do not hate economic buying power in citizens’ hands. What they hate is a giant bureaucracy making everyone’s decisions. So you ask what my main priority will be as president, it will be to get the Freedom Dividend across the finish line and get buying power into Americans’ hands, which will then lead us to be able to solve many other problems much more quickly."
